Feature,Precision,Recall
'60s,0.4545454545,0.0009379103
'60s / CD,0.2857142857,0.0003751641
'70s,0.6923076923,0.0016882386
'70s / CD,0.7777777778,0.0013130745
'em,0.625,0.0009379103
'em / PRP,0.625,0.0009379103
--,0.4929859719,0.0461451885
-- / :,0.4929859719,0.0461451885
-lsb-,0.4907749077,0.0249484149
-lsb- / -LRB-,0.4907749077,0.0249484149
-rsb-,0.4907749077,0.0249484149
-rsb- / -RRB-,0.4907749077,0.0249484149
/,0.7777777778,0.0013130745
/ / :,0.7777777778,0.0013130745
1,0.3333333333,0.0005627462
1 / CD,0.3333333333,0.0005627462
10,0.7058823529,0.0022509848
10 / CD,0.7058823529,0.0022509848
100,0.75,0.0011254924
100 / CD,0.75,0.0011254924
101,0.4285714286,0.0005627462
101 / CD,0.4285714286,0.0005627462
11,0.875,0.0013130745
11 / CD,0.875,0.0013130745
13,0.1666666667,0.0001875821
13 / CD,0.1666666667,0.0001875821
15,0.375,0.0005627462
15 / CD,0.375,0.0005627462
1970s,0.6666666667,0.0007503283
2,0.3928571429,0.0020634027
2 / CD,0.3928571429,0.0020634027
20,0.5,0.0013130745
20 / CD,0.5,0.0013130745
2002,0.625,0.002813731
2002 / CD,0.625,0.002813731
20th,0,0
20th / JJ,0,0
21st,0.5,0.0005627462
21st / JJ,0.6,0.0005627462
3,0.3333333333,0.0003751641
3 / CD,0.3333333333,0.0003751641
30,0.8333333333,0.0009379103
30 / CD,0.8333333333,0.0009379103
3000,0.8,0.0007503283
3000 / CD,0.8,0.0007503283
40,1,0.0013130745
40 / CD,1,0.0013130745
4ever,1,0.0015006565
5,0.6,0.0005627462
5 / CD,0.6,0.0005627462
50,0.6,0.0005627462
50 / CD,0.6,0.0005627462
51,1,0.0016882386
51 / CD,1,0.0016882386
8,0.7142857143,0.0009379103
8 / CD,0.7142857143,0.0009379103
80,0.75,0.0011254924
80 / CD,0.75,0.0011254924
9,0.7272727273,0.0015006565
9 / CD,0.7272727273,0.0015006565
90,0.9523809524,0.0037516413
90 / CD,0.9523809524,0.0037516413
90-minute,0.5,0.0005627462
90-minute / JJ,0.5,0.0005627462
<AMPERSAND>,0.375,0.0016882386
<AMPERSAND> / CC,0.347826087,0.0015006565
<ASTERISK>,0.4444444444,0.0007503283
<ASTERISK> / NN,0.5,0.0005627462
<CLOSEPAREN>,0.5462962963,0.0221346839
<CLOSEPAREN> / -RRB-,0.5462962963,0.0221346839
<COLON>,0.5740740741,0.0232601763
<COLON> / :,0.5740740741,0.0232601763
<COMMA>,0.484691398,0.5612455449
"<COMMA> / ,",0.484691398,0.5612455449
<DASH>,0.5753424658,0.0157568936
<DASH> / :,0.5753424658,0.0157568936
<DOLLAR>,0.8333333333,0.0018758207
<DOLLAR> / $,0.8333333333,0.0018758207
<ELLIPSE>,0.4917617237,0.0727818421
<ELLIPSE> / :,0.4917617237,0.0727818421
<EXCLAMATIONMARK>,0.504950495,0.0095666854
<EXCLAMATIONMARK> / .,0.504950495,0.0095666854
<NUMBERSIGN>,0.8333333333,0.0009379103
<NUMBERSIGN> / #,0.8333333333,0.0009379103
<OPENPAREN>,0.5441860465,0.0219471019
<OPENPAREN> / -LRB-,0.5441860465,0.0219471019
<PERIOD>,0.5006868132,0.9572312887
<PERIOD> / .,0.5006868132,0.9572312887
<QUESTIONMARK>,0.7121212121,0.0264490715
<QUESTIONMARK> / .,0.7121212121,0.0264490715
<SEMICOLON>,0.6230769231,0.0151941474
<SEMICOLON> / :,0.6230769231,0.0151941474
<SINGLEQUOTE>,0.5414937759,0.0489589195
<SINGLEQUOTE> / IN,0.7272727273,0.0015006565
<SINGLEQUOTE> / JJ,0.619047619,0.0024385669
<SINGLEQUOTE> / NN,0.5524691358,0.03357719
<SINGLEQUOTE> / NNP,0.5154639175,0.0187582067
<SINGLEQUOTE> / RB,0.7272727273,0.0015006565
<SINGLEQUOTE> / SYM,0.7142857143,0.0018758207
<SINGLEQUOTE> / VBP,0.5675675676,0.0039392234
a,0.4772727273,0.4845244795
a / DT,0.4773525605,0.4843368974
abandon,0.625,0.0009379103
abandon / VB,0.8333333333,0.0009379103
ability,0.24,0.0011254924
ability / NN,0.24,0.0011254924
able,0.3103448276,0.0016882386
able / JJ,0.3103448276,0.0016882386
ably,0,0
ably / RB,0,0
about,0.5086455331,0.0662164697
about / IN,0.4857594937,0.0575876946
about / RB,0.7205882353,0.0091915213
above,0.4047619048,0.0031888951
above / IN,0.4358974359,0.0031888951
absolute,0.3333333333,0.0003751641
absolute / JJ,0.3333333333,0.0003751641
absolutely,0.3913043478,0.0016882386
absolutely / RB,0.3913043478,0.0016882386
absorbing,0.0909090909,0.0003751641
absorbing / VBG,0.0952380952,0.0003751641
abstract,0.6,0.0011254924
abstract / NN,0.6666666667,0.0007503283
absurd,0.6363636364,0.0013130745
absurd / JJ,0.6363636364,0.0013130745
absurdist,0.2857142857,0.0003751641
absurdist / JJ,0.2857142857,0.0003751641
absurdities,0.6,0.0005627462
absurdities / NNS,0.6,0.0005627462
absurdity,0.5714285714,0.0007503283
absurdity / NN,0.5714285714,0.0007503283
abuse,0.4444444444,0.0007503283
abuse / NN,0.4444444444,0.0007503283
academy,0.7142857143,0.0009379103
academy / NN,0.6666666667,0.0007503283
accent,0.8571428571,0.0011254924
accent / NN,0.8571428571,0.0011254924
accents,0.7142857143,0.0009379103
accents / NNS,0.7142857143,0.0009379103
acceptable,0.7142857143,0.0009379103
acceptable / JJ,0.7142857143,0.0009379103
accessible,0.2941176471,0.0009379103
accessible / JJ,0.2941176471,0.0009379103
accomplished,0.2,0.0005627462
accomplished / JJ,0.2,0.0001875821
accomplished / VBN,0.1111111111,0.0001875821
account,0.2727272727,0.0005627462
account / NN,0.2727272727,0.0005627462
accurate,0,0
accurate / JJ,0,0
accurately,0.6,0.0005627462
accurately / RB,0.6,0.0005627462
achieve,0.6666666667,0.0007503283
achieve / VB,0.8,0.0007503283
achievement,0.3636363636,0.0007503283
achievement / NN,0.4,0.0007503283
achieves,0.4705882353,0.0015006565
achieves / VBZ,0.4705882353,0.0015006565
achingly,0.3333333333,0.0003751641
achingly / RB,0.3333333333,0.0003751641
across,0.5925925926,0.0030013131
across / IN,0.4117647059,0.0013130745
across / RP,0.9,0.0016882386
act,0.5294117647,0.0033764772
act / NN,0.5,0.0022509848
act / VB,0.6666666667,0.0007503283
acted,0.3333333333,0.0022509848
acted / VBD,0.44,0.0020634027
acted / VBN,0.0909090909,0.0001875821
acting,0.5700934579,0.0114425061
acting / NN,0.5614035088,0.0060026261
acting / VBG,0.58,0.0054398799
action,0.6463414634,0.0198836991
action / NN,0.6463414634,0.0198836991
action-packed,0.4,0.0003751641
action-packed / JJ,0.4,0.0003751641
actions,0.4,0.0003751641
actions / NNS,0.4,0.0003751641
actor,0.5471698113,0.0054398799
actor / NN,0.5471698113,0.0054398799
actors,0.51,0.0095666854
actors / NNS,0.51,0.0095666854
actress,0.4230769231,0.0020634027
actress / NN,0.4230769231,0.0020634027
actresses,0.4166666667,0.0009379103
actresses / NNS,0.4166666667,0.0009379103
acts,0.4615384615,0.0011254924
acts / NNS,0.375,0.0005627462
acts / VBZ,0.6,0.0005627462
actual,0.5555555556,0.0009379103
actual / JJ,0.5555555556,0.0009379103
actually,0.5757575758,0.0071281186
actually / RB,0.5757575758,0.0071281186
ad,1,0.0009379103
ad / NN,1,0.0009379103
adam,0.8125,0.0024385669
adam / NNP,0.8125,0.0024385669
adams,0.7,0.0013130745
adams / NNP,0.7,0.0013130745
adaptation,0.375,0.0022509848
adaptation / NN,0.375,0.0022509848
adaptations,0.2,0.0001875821
adaptations / NNS,0.2,0.0001875821
adapted,0.2,0.0001875821
add,0.75,0.0045019696
add / VB,0.7916666667,0.0035640593
add / VBP,0.625,0.0009379103
added,0.6,0.0005627462
added / VBN,0.6,0.0005627462
addition,0.4285714286,0.0011254924
addition / NN,0.4285714286,0.0011254924
adds,0.3636363636,0.0007503283
adds / VBZ,0.3636363636,0.0007503283
adequate,0.8333333333,0.0009379103
adequate / JJ,0.8333333333,0.0009379103
admirable,0.375,0.0011254924
